T,,,,,,,,,
Bill ,,,,,,,,,
Updated at 17:25:00 Dated 2024-09-02,,,,,,,,,
User5,AHL,ALFA,C&M,CEL,ICON,IONE,PCPL,VCPL,Avg
Name,FMAP Admin,FMAP Admin,,,FMAP Admin,,FMAP Admin,FMAP Admin,Fma
0-7days,19.6,19.6,0,0,19.55,0,19.6,19.57,19.58
8-15days,19.4,19.3,0,0,19.4,0,19.5,19.43,19.41
16-30days,19.25,19.1,0,0,19.15,0,19.15,19.19,19.17
31-60days,18.75,19,0,0,18.85,0,18.75,18.81,18.83
61-90days,18.15,17.9,0,0,18,0,18.25,17.97,18.05
91-120days,17.8,18.1,0,0,17.95,0,17.8,17.89,17.91
121-180days,17.5,17.6,0,0,17.6,0,17.5,17.59,17.56
181-270days,17.3,17.5,0,0,17.4,0,17.35,17.49,17.41
271-365days,16.75,16.8,0,0,16.7,0,16.75,16.75,16.75
2years,15.65,15.65,0,0,15.6,0,15.55,15.59,15.61
3years,15.2,15.3,0,0,15.2,0,15.15,15.19,15.21
4years,15,15,0,0,14.95,0,14.9,14.89,14.95
5years,14.75,14.75,0,0,14.65,0,14.55,14.65,14.67
6years,14.35,14,0,0,14.37,0,14.65,14.35,14.34
7years,14.05,13.9,0,0,14.09,0,14.25,14.05,14.07
8years,13.85,13.7,0,0,13.81,0,14,13.85,13.84
9years,13.75,13.5,0,0,13.6,0,13.75,13.65,13.65
10years,13.5,13.25,0,0,13.3,0,13.5,13.35,13.38
15years,13.4,13.35,0,0,13.2,0,13.4,13.33,13.34
20years,13.25,13.25,0,0,13.15,0,13.3,13.23,13.24
